Ticker,MarketCap,Beta,PE,EPS,DividendYield,PayoutRatio,Sector,Currency,AsOfDate
AAPL,4376979046400.0,1.086,36.078693,8.26,0.36,0.1259,Technology,USD,2026-06-19
MSFT,2818348154880.0,1.103,22.610249,16.78,0.92,0.20729999,Technology,USD,2026-06-19
GOOGL,4490912595968.0,1.237,28.093893,13.1,0.24,0.0641,Communication Services,USD,2026-06-19
AMZN,2628929978368.0,1.444,31.453024,7.77,,0.0,Consumer Cyclical,USD,2026-06-19
META,1465228591104.0,1.229,20.997452,27.49,0.35,0.0764,Communication Services,USD,2026-06-19
NVDA,5103122644992.0,2.202,32.26493,6.53,,,Technology,USD,2026-06-19
TSLA,1504129843200.0,1.798,367.422,1.09,,0.0,Consumer Cyclical,USD,2026-06-19
ORCL,530026528768.0,1.655,31.556505,5.84,,,Technology,USD,2026-06-19
PLTR,307982663680.0,1.515,144.34831,0.89,,0.0,Technology,USD,2026-06-19
RDDT,33681383424.0,1.912,49.846157,3.51,,0.0,Communication Services,USD,2026-06-19
MU,1278839095296.0,2.173,53.41451,21.23,,,Technology,USD,2026-06-19
AMD,876235849728.0,2.492,179.72241,2.99,,0.0,Technology,USD,2026-06-19
TSM,2396773416960.0,1.25,39.73517,11.63,,,Technology,USD,2026-06-19
ALAB,71489110016.0,3.963,281.80405,1.48,,0.0,Technology,USD,2026-06-19
MSTR,39954190336.0,3.471,,-36.99,,,Technology,USD,2026-06-19
QCOM,238319943680.0,1.596,24.339075,9.29,1.72,0.38279998,Technology,USD,2026-06-19
YPF,19782801408.0,-0.027,,-1.04,,0.0,Energy,USD,2026-06-19
PEP,194132951040.0,0.359,22.295134,6.37,,,Consumer Defensive,USD,2026-06-19
UNH,364129550336.0,0.65,30.170052,13.29,,,Healthcare,USD,2026-06-19
VIST,7639376896.0,-0.508,9.992712,6.86,,0.0,Energy,USD,2026-06-19
INTC,673433780224.0,2.228,,-0.6,,0.0,Technology,USD,2026-06-19
SPY,,,26.744093,,0.98,,,USD,2026-06-19
QQQ,,,34.004364,,0.38,,,USD,2026-06-19
DIA,,,24.467392,,1.37,,,USD,2026-06-19
IWM,,,19.76246,,0.87,,,USD,2026-06-19
EEM,,,18.741812,,1.77,,,USD,2026-06-19
VEA,,,18.644863,,2.61,,,USD,2026-06-19
XLK,,,38.149933,,0.4,,,USD,2026-06-19
XLE,,,20.093224,,2.65,,,USD,2026-06-19
XLF,,,16.901234,,1.54,,,USD,2026-06-19
XLV,,,24.096712,,1.68,,,USD,2026-06-19
GLD,,,,,0.0,,,USD,2026-06-19
SLV,,,,,0.0,,,USD,2026-06-19
USO,,,34.75643,,0.0,,,USD,2026-06-19
EWZ,,,12.187527,,4.59,,,USD,2026-06-19
URA,,,35.76339,,4.1,,,USD,2026-06-19
SOXX,,,45.71423,,0.29,,,USD,2026-06-19
BTC-USD,1264530751488.0,,,,,,,USD,2026-06-19
ETH-USD,205515390976.0,,,,,,,USD,2026-06-19
